temp 	PC	PE	
284	98.6	87.0
286	96.7	86.8
288	93.5	84.6
290	91.2	83.9
292	89.0	80.7
293	90.8	83.0
294	88.9	82.3
296	93.0	80.1
298	89.7	77.9
300	83.1	69.7
302	71.1	56.8
304	55.9	41.8
306	45.4	31.1
308	37.7	23.2
310	34.1	21.1
312	27.7	13.8
314	19.0	9.5
316	8.5	3.6
318	0.1	0.0
320	0.0	0.0
322	0.0	0.0
