temp 	PC	PE	
284	100.0	83.9
286	100.0	81.7
288	100.0	81.1
290	99.9	80.5
292	99.9	79.2
293	99.9	75.6
294	97.9	76.4
296	99.0	74.2
298	91.7	74.6
300	90.9	72.5
302	89.7	71.8
304	88.0	70.6
306	84.7	69.1
308	83.0	68.4
310	79.1	67.5
312	77.7	66.1
314	78.5	65.2
316	76.4	62.0
318	74.4	58.4
320	70.2	56.3
322	68.4	54.0
