temp 	PC	PE	
284	100.0	85.3
286	100.0	88.0
288	100.0	83.2
290	94.2	82.8
292	97.9	81.7
293	92.1	82.1
294	95.6	79.7
296	97.7	82.8
298	93.6	80.2
300	91.9	69.4
302	73.9	55.8
304	56.7	33.7
306	39.3	20.5
308	26.2	14.7
310	22.0	9.8
312	14.0	5.8
314	10.9	3.3
316	5.0	0.4
318	1.3	0.0
320	0.0	0.0
322	0.0	0.0
